measurement_date,station_id,pm25_ug_m3,no2_ug_m3,temperature_c
2026-01-01,3,8.56,37.34,23.54
2026-01-02,4,34.19,17.67,20.63
2026-01-03,1,30.48,12.93,23.09
2026-01-04,3,13.73,52.7,22.42
2026-01-05,3,12.91,53.45,17.97
2026-01-06,4,12.95,46.38,22.83
2026-01-07,1,16.21,23.71,10.33
2026-01-08,1,22.17,14.4,11.94
2026-01-09,3,19.66,40.79,9.68
2026-01-10,2,15.86,29.81,13.88
2026-01-11,3,24.52,15.49,14.83
2026-01-12,3,11.77,32.28,13.07
2026-01-13,3,15.89,11.55,21.43
2026-01-14,3,17.89,50.92,14.35
2026-01-15,4,20.31,21.65,13.21
2026-01-16,1,29.2,39.81,17.14
2026-01-17,4,13.39,24.03,11.11
2026-01-18,4,21.88,33.4,21.03
2026-01-19,4,24.0,34.6,10.12
2026-01-20,3,9.25,18.32,23.8
