energy_date,province,energy_source,generation_mwh
2026-01-01,Valencia,Eólica,154.55
2026-01-02,Murcia,Solar,135.51
2026-01-03,Murcia,Biomasa,55.08
2026-01-04,Murcia,Eólica,71.58
2026-01-05,Valencia,Biomasa,56.29
2026-01-06,Murcia,Biomasa,177.28
2026-01-07,Murcia,Solar,112.87
2026-01-08,Valencia,Biomasa,151.71
2026-01-09,Murcia,Solar,231.51
2026-01-10,Valencia,Biomasa,99.86
2026-01-11,Alicante,Eólica,132.08
2026-01-12,Murcia,Biomasa,201.11
2026-01-13,Alicante,Solar,95.76
2026-01-14,Valencia,Solar,65.4
2026-01-15,Murcia,Eólica,107.95
2026-01-16,Valencia,Biomasa,82.24
2026-01-17,Alicante,Biomasa,235.94
2026-01-18,Valencia,Eólica,211.62
2026-01-19,Murcia,Biomasa,176.68
2026-01-20,Murcia,Biomasa,224.29
