collection_date,municipality,waste_type,collected_kg,recycled_kg
2026-01-01,Alicante,Plástico,641.2,153.83
2026-01-02,Alicante,Vidrio,170.09,1010.6
2026-01-03,Torrent,Plástico,1258.17,418.9
2026-01-04,Alicante,Plástico,1055.09,264.5
2026-01-05,Torrent,Orgánico,197.81,96.89
2026-01-06,Valencia,Vidrio,629.43,729.53
2026-01-07,Torrent,Orgánico,1825.71,829.2
2026-01-08,Alicante,Orgánico,555.17,69.08
2026-01-09,Valencia,Vidrio,375.3,638.91
2026-01-10,Valencia,Plástico,1029.96,310.47
2026-01-11,Valencia,Plástico,1972.74,791.95
2026-01-12,Torrent,Vidrio,559.91,250.52
2026-01-13,Alicante,Plástico,1377.06,844.58
2026-01-14,Valencia,Vidrio,1547.08,494.75
2026-01-15,Valencia,Vidrio,551.51,1127.24
2026-01-16,Valencia,Orgánico,1483.61,208.15
2026-01-17,Torrent,Vidrio,798.79,442.23
2026-01-18,Torrent,Orgánico,1301.38,180.49
2026-01-19,Alicante,Plástico,1303.71,1113.4
2026-01-20,Torrent,Plástico,1117.97,1058.94
